,item_nbr,family,class,perishable
917,749421,GROCERY I,1010,0
919,749729,GROCERY I,1010,0
920,750855,GROCERY I,1062,0
921,750856,GROCERY I,1062,0
922,750857,GROCERY I,1062,0
924,752167,GROCERY I,1030,0
925,752987,DAIRY,2116,1
926,754103,GROCERY I,1072,0
927,757880,GROCERY I,1004,0
928,757888,CLEANING,3032,0
930,758861,DAIRY,2116,1
931,759651,PERSONAL CARE,4126,0
932,759657,LINGERIE,7016,0
933,759694,GROCERY I,1070,0
934,759697,BEVERAGES,1124,0
935,759698,BEVERAGES,1124,0
936,759890,CLEANING,3016,0
937,759893,CLEANING,3032,0
938,759894,PERSONAL CARE,4126,0
940,762405,CLEANING,3030,0
941,764438,GROCERY I,1072,0
942,764439,GROCERY I,1072,0
943,765092,POULTRY,2416,1
944,765517,GROCERY I,1060,0
945,765518,GROCERY I,1060,0
946,765519,GROCERY I,1084,0
947,765520,GROCERY I,1084,0
949,767183,GROCERY I,1039,0
951,769312,CLEANING,3020,0
952,769314,CLEANING,3020,0
955,770453,GROCERY I,1016,0
957,770461,GROCERY I,1030,0
958,770463,BEVERAGES,1120,0
959,770511,GROCERY I,1062,0
960,771156,CLEANING,3034,0
961,771157,CLEANING,3034,0
962,776057,GROCERY I,1087,0
963,776622,GROCERY II,1236,0
964,779122,GROCERY II,1236,0
965,781794,FROZEN FOODS,2228,0
966,781796,FROZEN FOODS,2228,0
967,781797,FROZEN FOODS,2228,0
968,781798,FROZEN FOODS,2228,0
970,783243,GROCERY I,1016,0
971,787426,CLEANING,3014,0
973,788708,FROZEN FOODS,2238,0
974,789223,CLEANING,3046,0
975,789224,CLEANING,3046,0
976,789904,DAIRY,2102,1
977,789905,DAIRY,2102,1
980,793341,CLEANING,3020,0
981,793345,PERSONAL CARE,4126,0
982,793346,PERSONAL CARE,4126,0
983,794245,GROCERY I,1010,0
984,795610,FROZEN FOODS,2220,0
985,795611,FROZEN FOODS,2220,0
986,795612,FROZEN FOODS,2220,0
987,796394,CLEANING,3046,0
988,796395,CLEANING,3046,0
989,796396,CLEANING,3046,0
990,799461,GROCERY I,1060,0
992,801217,CLEANING,3034,0
993,801934,CLEANING,3016,0
994,802831,GROCERY I,1045,0
995,802832,GROCERY I,1045,0
996,802833,GROCERY I,1045,0
997,803101,CLEANING,3060,0
999,804503,GROCERY I,1004,0
1000,804932,BEVERAGES,1122,0
1001,804974,GROCERY I,1060,0
1002,805310,BEVERAGES,1122,0
1003,805311,BEVERAGES,1122,0
1004,805321,GROCERY I,1060,0
1005,805788,GROCERY I,1028,0
1006,807493,BEVERAGES,1124,0
1007,807495,BEVERAGES,1124,0
1008,809183,DAIRY,2124,1
1009,809184,DAIRY,2124,1
1010,809882,BREAD/BAKERY,2708,1
1011,812716,"LIQUOR,WINE,BEER",1318,0
1012,812725,CLEANING,3040,0
1013,812726,CLEANING,3034,0
1014,812728,"LIQUOR,WINE,BEER",1320,0
1015,812735,GROCERY I,1004,0
1016,812751,"LIQUOR,WINE,BEER",1318,0
1017,812757,"LIQUOR,WINE,BEER",1318,0
1018,812769,"LIQUOR,WINE,BEER",1318,0
1019,813167,FROZEN FOODS,2214,0
1020,813760,GROCERY I,1072,0
1021,813769,PREPARED FOODS,2986,1
1022,813770,PREPARED FOODS,2986,1
1023,816606,PERSONAL CARE,4126,0
1024,816679,MEATS,2302,1
1025,818588,HARDWARE,6706,0
1026,818590,HARDWARE,6706,0
1027,819194,GROCERY I,1002,0
1028,819195,GROCERY I,1002,0
1029,819206,MEATS,2304,1
1030,819209,MEATS,2304,1
1032,819228,MEATS,2304,1
1033,819230,MEATS,2304,1
1034,819231,MEATS,2304,1
1035,819932,BEVERAGES,1122,0
1036,819933,BEVERAGES,1122,0
1037,819934,BEVERAGES,1122,0
1040,820500,HARDWARE,6706,0
1041,820645,GROCERY I,1004,0
1042,821186,BEVERAGES,1124,0
1043,823245,BREAD/BAKERY,2708,1
1044,827911,GROCERY I,1096,0
1045,828204,GROCERY I,1060,0
1046,828630,DELI,2636,1
1047,828632,DELI,2644,1
1048,829389,GROCERY I,1025,0
1049,829414,CLEANING,3046,0
1051,830624,CLEANING,3032,0
1052,830625,CLEANING,3032,0
1053,830749,GROCERY I,1074,0
1054,830797,GROCERY I,1074,0
1055,830806,BREAD/BAKERY,2716,1
1056,830829,GROCERY I,1006,0
1057,833395,PERSONAL CARE,4126,0
1058,833396,PERSONAL CARE,4126,0
1059,833644,GROCERY I,1034,0
1060,838215,DAIRY,2124,1
1061,838216,DAIRY,2124,1
1062,838217,DAIRY,2124,1
1063,838400,DAIRY,2102,1
1064,838406,DAIRY,2124,1
1065,838407,DAIRY,2124,1
1066,838408,DAIRY,2124,1
1067,838409,DAIRY,2124,1
1068,838412,DAIRY,2128,1
1069,838413,DAIRY,2128,1
1070,838415,DAIRY,2128,1
1071,838832,GROCERY I,1016,0
1072,838842,GROCERY I,1028,0
1074,838875,GROCERY I,1042,0
1075,839362,BEVERAGES,1124,0
1076,839363,BEVERAGES,1124,0
1077,839364,BEVERAGES,1124,0
1078,839367,BEVERAGES,1124,0
1079,839544,DAIRY,2142,1
1080,839545,DAIRY,2142,1
1081,841197,BREAD/BAKERY,2708,1
1082,841514,GROCERY I,1072,0
1083,841570,GROCERY I,1070,0
1084,841583,GROCERY I,1014,0
1085,841607,CLEANING,3024,0
1086,841612,CLEANING,3038,0
1087,841614,CLEANING,3038,0
1088,841667,DAIRY,2128,1
1089,841841,GROCERY I,1072,0
1090,841842,GROCERY I,1072,0
1091,843411,PERSONAL CARE,4126,0
1093,843462,DELI,2636,1
1094,843585,GROCERY I,1016,0
1095,843589,PERSONAL CARE,4126,0
1096,843607,GROCERY I,1042,0
1097,843608,GROCERY I,1042,0
1098,843609,GROCERY I,1042,0
1099,843610,GROCERY I,1042,0
1100,844017,DELI,2632,1
1101,844019,DELI,2662,1
1104,846163,LAWN AND GARDEN,6920,0
1105,846565,CLEANING,3014,0
1106,847569,GROCERY I,1062,0
1107,847575,GROCERY I,1006,0
1108,847859,BEVERAGES,1122,0
1109,847863,GROCERY I,1058,0
1110,847894,BREAD/BAKERY,2708,1
1111,848765,GROCERY I,1058,0
1112,848953,CLEANING,3016,0
1113,849080,DAIRY,2116,1
1114,849095,DAIRY,2116,1
1115,849098,DAIRY,2116,1
1116,849135,DAIRY,2124,1
1117,849136,DAIRY,2124,1
1118,849139,DAIRY,2124,1
1119,849142,DAIRY,2130,1
1120,849312,DAIRY,2130,1
1121,849941,MEATS,2302,1
1122,850333,GROCERY I,1084,0
1123,850334,GROCERY I,1084,0
1124,850388,FROZEN FOODS,2226,0
1125,850389,FROZEN FOODS,2226,0
1126,850460,GROCERY I,1008,0
1127,850542,CLEANING,3029,0
1128,850545,CLEANING,3035,0
1129,851982,PERSONAL CARE,4114,0
1130,852110,CLEANING,3038,0
1131,852620,CLEANING,3024,0
1133,852937,FROZEN FOODS,2228,0
1134,852938,FROZEN FOODS,2228,0
1135,853195,CLEANING,3014,0
1136,853196,CLEANING,3014,0
1137,856687,GROCERY I,1030,0
1138,856688,GROCERY I,1030,0
1143,858872,BREAD/BAKERY,2704,1
1144,859529,GROCERY I,1006,0
1145,859932,CLEANING,3022,0
1146,859966,DAIRY,2116,1
1147,860548,DAIRY,2142,1
1148,860549,DAIRY,2142,1
1149,862213,DAIRY,2116,1
1150,862454,GROCERY I,1088,0
1151,864288,CLEANING,3044,0
1152,864290,PREPARED FOODS,2962,1
1153,864508,GROCERY I,1048,0
1154,864510,GROCERY I,1048,0
1155,864511,GROCERY I,1048,0
1156,865147,PERSONAL CARE,4114,0
1157,865155,GROCERY I,1058,0
1158,866927,DELI,2632,1
1159,867850,CLEANING,3034,0
1160,868529,GROCERY I,1088,0
1162,870544,PERSONAL CARE,4126,0
1163,870545,PERSONAL CARE,4126,0
1164,870546,PERSONAL CARE,4126,0
1165,870938,DAIRY,2124,1
1166,871118,DELI,2662,1
1167,871421,BEVERAGES,1124,0
1172,871600,GROCERY I,1096,0
1173,872306,GROCERY I,1034,0
1174,872307,GROCERY I,1034,0
1175,872308,GROCERY I,1034,0
1176,872309,GROCERY I,1034,0
1177,872310,GROCERY I,1034,0
1178,872317,GROCERY I,1040,0
1179,873687,PERSONAL CARE,4126,0
1180,874593,GROCERY I,1016,0
1181,874598,GROCERY I,1030,0
1182,874990,CLEANING,3008,0
1183,875604,GROCERY I,1026,0
1184,876223,GROCERY I,1010,0
1185,876224,GROCERY I,1010,0
1186,876225,GROCERY I,1014,0
1187,876226,GROCERY I,1014,0
1188,876663,GROCERY I,1004,0
1189,877513,CLEANING,3020,0
1190,877514,CLEANING,3020,0
1191,878715,GROCERY I,1040,0
1192,881701,GROCERY I,1042,0
1193,881910,GROCERY I,1042,0
1194,881911,GROCERY I,1042,0
1195,881912,GROCERY I,1042,0
1196,882624,DAIRY,2116,1
1197,883336,CLEANING,3020,0
1198,884878,BEVERAGES,1124,0
1199,885543,PREPARED FOODS,2966,1
1200,885553,GROCERY I,1034,0
1201,886067,BEVERAGES,1120,0
1202,886396,GROCERY I,1042,0
1203,886398,GROCERY I,1042,0
1204,888063,"LIQUOR,WINE,BEER",1302,0
1205,888630,FROZEN FOODS,2228,0
1206,888682,BREAD/BAKERY,2752,1
1207,888689,BREAD/BAKERY,2752,1
1208,888761,DELI,2646,1
1209,888763,DELI,2646,1
1210,890213,GROCERY I,1026,0
1211,890214,GROCERY I,1026,0
1212,890215,GROCERY I,1026,0
1213,890371,GROCERY I,1002,0
1214,890372,GROCERY I,1002,0
1215,890374,GROCERY I,1002,0
1216,890375,GROCERY I,1002,0
1217,890825,GROCERY I,1060,0
1218,892076,GROCERY I,1010,0
1219,895291,POULTRY,2416,1
1221,898656,DAIRY,2116,1
1222,900196,DAIRY,2102,1
1226,902839,GROCERY I,1060,0
1227,903283,POULTRY,2416,1
1228,903284,POULTRY,2416,1
1229,903285,POULTRY,2416,1
1230,903286,POULTRY,2416,1
1231,903955,BEVERAGES,1122,0
1232,906979,BEVERAGES,1120,0
1233,906980,BEVERAGES,1120,0
1235,907671,"LIQUOR,WINE,BEER",1318,0
1236,907684,BEVERAGES,1120,0
1238,908741,LAWN AND GARDEN,6918,0
1240,910928,GROCERY I,1034,0
1241,911429,GROCERY I,1016,0
1242,911871,CLEANING,3020,0
1243,911989,CLEANING,3038,0
1244,911990,CLEANING,3038,0
1245,913102,BEVERAGES,1124,0
1246,913363,CLEANING,3038,0
1247,913364,CLEANING,3038,0
1248,913521,CLEANING,3046,0
1249,913526,BREAD/BAKERY,2722,1
1250,913964,GROCERY I,1036,0
1251,913966,GROCERY I,1036,0
1252,913967,GROCERY I,1036,0
1253,913968,GROCERY I,1036,0
1254,915310,PERSONAL CARE,4126,0
1255,915351,DAIRY,2128,1
1256,915810,DAIRY,2108,1
1257,915821,LAWN AND GARDEN,6918,0
1258,915822,LAWN AND GARDEN,6918,0
1259,915980,BEVERAGES,1122,0
1260,916885,CLEANING,3024,0
1261,916886,CLEANING,3024,0
1263,920607,GROCERY I,1092,0
1264,921042,PERSONAL CARE,4114,0
1265,926958,GROCERY I,1026,0
1266,928477,CLEANING,3046,0
1267,929627,GROCERY I,1045,0
1268,929893,GROCERY I,1094,0
1269,930247,GROCERY I,1006,0
1270,932281,CLEANING,3024,0
1271,933780,GROCERY I,1040,0
1272,936341,GROCERY I,1045,0
1273,936994,GROCERY I,1004,0
1274,937953,CLEANING,3020,0
1275,938125,CLEANING,3004,0
1276,938126,CLEANING,3004,0
1277,938129,CLEANING,3004,0
1278,938436,CLEANING,3034,0
1279,938566,GROCERY I,1042,0
1280,938567,GROCERY I,1042,0
1281,938570,GROCERY I,1042,0
1282,938574,GROCERY I,1042,0
1283,938575,GROCERY I,1042,0
1284,938576,GROCERY I,1042,0
1285,938657,BEVERAGES,1136,0
1286,938659,BEVERAGES,1136,0
1287,939129,DAIRY,2104,1
1288,939130,DAIRY,2104,1
1289,939131,DAIRY,2104,1
1290,939207,DAIRY,2130,1
1291,939210,DAIRY,2130,1
1292,939661,GROCERY I,1045,0
1293,939662,GROCERY I,1045,0
1294,939663,GROCERY I,1045,0
1295,940585,CLEANING,3010,0
1296,940590,CLEANING,3016,0
1297,940591,CLEANING,3016,0
1298,940592,CLEANING,3016,0
1299,940616,CLEANING,3028,0
1300,940638,CLEANING,3040,0
1301,940664,BEVERAGES,1124,0
1302,940665,BEVERAGES,1124,0
1303,946277,FROZEN FOODS,2228,0
1304,946671,DELI,2636,1
1305,949053,GROCERY I,1062,0
1306,949243,PERSONAL CARE,4126,0
1307,949296,CLEANING,3020,0
1308,949297,CLEANING,3020,0
1309,949298,CLEANING,3020,0
1310,949299,CLEANING,3020,0
1311,949510,GROCERY I,1062,0
1312,949511,GROCERY I,1062,0
1313,949629,CLEANING,3034,0
1314,951675,BEVERAGES,1124,0
1315,953404,CLEANING,3046,0
1316,953413,CLEANING,3046,0
1317,953420,GROCERY I,1028,0
1318,953427,DAIRY,2112,1
1319,953428,DAIRY,2112,1
1320,953562,GROCERY I,1062,0
1321,953609,CLEANING,3046,0
1322,954553,DAIRY,2108,1
1323,954796,GROCERY I,1094,0
1324,954805,GROCERY I,1010,0
1325,956011,GROCERY I,1064,0
1326,956012,GROCERY I,1088,0
1327,956013,GROCERY I,1088,0
1328,956014,GROCERY I,1088,0
1329,957096,DAIRY,2130,1
1330,957098,DAIRY,2130,1
1333,958514,BEAUTY,4252,0
1334,958516,BEVERAGES,1122,0
1335,958519,BEVERAGES,1122,0
1336,959437,"LIQUOR,WINE,BEER",1318,0
1337,959500,CLEANING,3034,0
1338,959502,CLEANING,3040,0
1341,964752,GROCERY I,1088,0
1342,964753,GROCERY I,1088,0
1343,964848,PERSONAL CARE,4114,0
1344,967021,DAIRY,2128,1
1345,968432,BEVERAGES,1122,0
1346,968935,"LIQUOR,WINE,BEER",1386,0
1347,968936,"LIQUOR,WINE,BEER",1386,0
1348,968937,"LIQUOR,WINE,BEER",1386,0
1349,977007,CLEANING,3034,0
1350,979195,CLEANING,3028,0
1351,979196,CLEANING,3028,0
1352,979197,CLEANING,3028,0
1353,979199,CLEANING,3028,0
1354,979553,FROZEN FOODS,2228,0
1355,979554,FROZEN FOODS,2228,0
1356,980041,"LIQUOR,WINE,BEER",1330,0
1358,982726,CLEANING,3018,0
1359,982727,CLEANING,3018,0
1360,983310,BREAD/BAKERY,2708,1
1361,985823,GROCERY I,1076,0
1363,986193,BREAD/BAKERY,2702,1
1364,987308,GROCERY I,1076,0
1367,988408,GROCERY I,1076,0
1368,988459,PREPARED FOODS,2904,1
1369,989092,GROCERY I,1076,0
1370,991114,DELI,2636,1
1371,991329,GROCERY I,1004,0
1373,996122,BEVERAGES,1124,0
1374,996537,GROCERY I,1088,0
1375,996597,GROCERY I,1042,0
1376,996600,GROCERY I,1042,0
1377,996606,MEATS,2372,1
1378,996613,MEATS,2372,1
1379,999545,CLEANING,3026,0
1380,999546,CLEANING,3026,0
1381,999547,CLEANING,3026,0
1382,1000866,GROCERY I,1074,0
1383,1001305,GROCERY I,1016,0
1384,1003679,GROCERY I,1028,0
1385,1004545,CLEANING,3028,0
1386,1004550,"LIQUOR,WINE,BEER",1318,0
1387,1004551,"LIQUOR,WINE,BEER",1318,0
1388,1005456,LINGERIE,7002,0
1389,1005458,LINGERIE,7002,0
1390,1005461,LINGERIE,7002,0
1392,1005464,LINGERIE,7002,0
1394,1009512,AUTOMOTIVE,6810,0
1395,1009539,GROCERY I,1040,0
1397,1009997,CLEANING,3024,0
1398,1009998,CLEANING,3024,0
1399,1010752,GROCERY I,1036,0
1400,1010755,GROCERY I,1036,0
1401,1010757,GROCERY I,1036,0
1403,1012787,GROCERY I,1012,0
1404,1012788,GROCERY I,1012,0
1405,1014864,DAIRY,2108,1
1406,1014865,DAIRY,2108,1
1409,1017791,CLEANING,3034,0
1410,1018516,GROCERY I,1030,0
1411,1018617,GROCERY I,1086,0
1412,1018878,DAIRY,2130,1
1413,1020237,"LIQUOR,WINE,BEER",1330,0
1414,1020940,"LIQUOR,WINE,BEER",1314,0
1415,1021281,CLEANING,3034,0
1416,1021676,GROCERY I,1040,0
1417,1022053,BEVERAGES,1126,0
1420,1028589,"LIQUOR,WINE,BEER",1318,0
1421,1033395,BREAD/BAKERY,2702,1
1422,1036189,MEATS,2302,1
1423,1036317,CLEANING,3018,0
1425,1036689,GROCERY I,1040,0
1426,1037412,CLEANING,3046,0
1427,1037654,PERSONAL CARE,4122,0
1428,1037838,FROZEN FOODS,2210,0
1429,1037845,GROCERY I,1022,0
1430,1037846,GROCERY I,1022,0
1431,1037856,BEVERAGES,1120,0
1432,1037857,BEVERAGES,1120,0
1433,1038937,BREAD/BAKERY,2704,1
1434,1038945,BREAD/BAKERY,2708,1
1435,1038946,BREAD/BAKERY,2708,1
1436,1038950,BREAD/BAKERY,2712,1
1437,1038952,BREAD/BAKERY,2714,1
1438,1038953,BREAD/BAKERY,2714,1
1439,1038954,BREAD/BAKERY,2714,1
1440,1038962,BREAD/BAKERY,2718,1
1441,1039087,CLEANING,3020,0
1442,1040170,FROZEN FOODS,2222,0
1443,1040348,GROCERY I,1034,0
1444,1044584,BEVERAGES,1124,0
1445,1044592,DAIRY,2156,1
1446,1045449,BREAD/BAKERY,2708,1
1447,1046272,GROCERY I,1072,0
1451,1047674,BEVERAGES,1120,0
1452,1047675,BEVERAGES,1120,0
1453,1047679,BEVERAGES,1120,0
1454,1047680,BEVERAGES,1120,0
1455,1047681,BEVERAGES,1120,0
1456,1047682,BEVERAGES,1120,0
1457,1047685,BEVERAGES,1120,0
1458,1047686,BEVERAGES,1120,0
1459,1047690,BEVERAGES,1120,0
1460,1047695,BEVERAGES,1122,0
1461,1047696,BEVERAGES,1122,0
1462,1047698,BEVERAGES,1122,0
1463,1047699,BEVERAGES,1122,0
1464,1047702,BEVERAGES,1122,0
1465,1047703,BEVERAGES,1122,0
1466,1047705,BEVERAGES,1122,0
1467,1047707,BEVERAGES,1122,0
1468,1047709,BEVERAGES,1122,0
1469,1047717,BEVERAGES,1122,0
1470,1047721,BEVERAGES,1122,0
1471,1047733,BEVERAGES,1124,0
1472,1047734,BEVERAGES,1124,0
1473,1047735,BEVERAGES,1124,0
1474,1047740,BEVERAGES,1124,0
1475,1047743,BEVERAGES,1124,0
1476,1047751,BEVERAGES,1126,0
1477,1047752,BEVERAGES,1126,0
1478,1047753,BEVERAGES,1126,0
1479,1047755,BEVERAGES,1126,0
1480,1047756,BEVERAGES,1126,0
1481,1047757,BEVERAGES,1126,0
1482,1047758,BEVERAGES,1126,0
1483,1047772,BEVERAGES,1126,0
1484,1047773,BEVERAGES,1126,0
1485,1047774,BEVERAGES,1126,0
1486,1047775,BEVERAGES,1126,0
1487,1047786,BEVERAGES,1126,0
1488,1047790,BEVERAGES,1138,0
1489,1047793,BEVERAGES,1138,0
1491,1050142,BEVERAGES,1124,0
1492,1050370,CLEANING,3018,0
1493,1052022,DAIRY,2142,1
1494,1052563,GROCERY I,1040,0
1498,1054129,GROCERY I,1002,0
1499,1057033,GROCERY I,1040,0
1500,1057034,GROCERY I,1040,0
1501,1057490,CLEANING,3046,0
1502,1057491,CLEANING,3046,0
1503,1057495,CLEANING,3046,0
1505,1057515,CLEANING,3046,0
1506,1058820,CLEANING,3004,0
1507,1060036,BEVERAGES,1138,0
1508,1062338,GROCERY I,1026,0
1509,1062374,MEATS,2302,1
1510,1062926,BEVERAGES,1122,0
1511,1062927,BEVERAGES,1122,0
1512,1064018,GROCERY I,1078,0
1514,1066900,BEVERAGES,1136,0
1515,1066901,BEVERAGES,1136,0
1516,1070962,GROCERY I,1026,0
1517,1071928,PERSONAL CARE,4114,0
1518,1071949,BEVERAGES,1120,0
1519,1072167,DELI,2644,1
1520,1072173,BREAD/BAKERY,2708,1
1521,1074327,BEVERAGES,1120,0
1522,1075283,GROCERY I,1030,0
1523,1075891,CLEANING,3018,0
1525,1076066,GROCERY I,1003,0
1526,1076155,GROCERY I,1010,0
1527,1076335,GROCERY I,1086,0
1528,1078288,GROCERY I,1004,0
1529,1079214,CLEANING,3022,0
1530,1079215,CLEANING,3022,0
1531,1079220,CLEANING,3022,0
1532,1079254,CLEANING,3020,0
1533,1079257,CLEANING,3030,0
1534,1079258,CLEANING,3030,0
1535,1079329,"LIQUOR,WINE,BEER",1364,0
1536,1079331,CLEANING,3020,0
1537,1080001,"LIQUOR,WINE,BEER",1314,0
1538,1080009,"LIQUOR,WINE,BEER",1380,0
1539,1080021,GROCERY I,1022,0
1540,1080756,GROCERY I,1038,0
1541,1081359,GROCERY I,1088,0
1542,1082042,GROCERY I,1040,0
1543,1082391,GROCERY I,1040,0
1544,1082578,CLEANING,3028,0
1545,1082907,EGGS,2502,1
1546,1083152,DAIRY,2116,1
1547,1083154,PERSONAL CARE,4126,0
1548,1083196,DAIRY,2116,1
1552,1084417,GROCERY I,1048,0
1553,1084425,BEVERAGES,1136,0
1554,1084436,GROCERY I,1074,0
1555,1084437,GROCERY I,1074,0
1556,1084881,GROCERY I,1040,0
1557,1084882,GROCERY I,1040,0
1558,1085148,AUTOMOTIVE,6806,0
1560,1085246,MEATS,2302,1
1563,1086172,GROCERY I,1029,0
1564,1087269,PERSONAL CARE,4114,0
1565,1087270,PERSONAL CARE,4114,0
1567,1088002,BEVERAGES,1126,0
1568,1089044,CLEANING,3020,0
1569,1089045,CLEANING,3020,0
1570,1089046,CLEANING,3020,0
1571,1089079,GROCERY I,1034,0
1572,1089163,EGGS,2504,1
1573,1089820,GROCERY I,1002,0
1574,1089843,BREAD/BAKERY,2712,1
1575,1089844,BREAD/BAKERY,2712,1
1578,1090401,"LIQUOR,WINE,BEER",1318,0
1579,1090419,CLEANING,3046,0
1580,1091333,GROCERY I,1028,0
1582,1091365,GROCERY I,1016,0
1583,1091366,GROCERY I,1016,0
1584,1091367,GROCERY I,1016,0
1588,1091467,MEATS,2306,1
1589,1092008,BREAD/BAKERY,2712,1
1590,1092061,DAIRY,2142,1
1591,1092106,MEATS,2306,1
1592,1093340,GROCERY I,1093,0
1593,1093344,GROCERY I,1093,0
1594,1093786,GROCERY I,1004,0
1595,1094235,GROCERY I,1028,0
1597,1096235,PERSONAL CARE,4114,0
1598,1097187,GROCERY I,1042,0
1600,1099990,GROCERY I,1030,0
1601,1101724,BEVERAGES,1132,0
1602,1102268,PERSONAL CARE,4114,0
1603,1102970,BEVERAGES,1122,0
1604,1102971,BEVERAGES,1122,0
1605,1102975,BEVERAGES,1122,0
1606,1102976,BEVERAGES,1122,0
1607,1104598,PERSONAL CARE,4114,0
1608,1104599,PERSONAL CARE,4114,0
1609,1104650,CLEANING,3044,0
1610,1104725,BEVERAGES,1132,0
1611,1105210,GROCERY I,1074,0
1612,1105211,GROCERY I,1074,0
1613,1105212,GROCERY I,1074,0
1614,1105213,GROCERY I,1074,0
1615,1105214,GROCERY I,1074,0
1616,1105215,GROCERY I,1074,0
1617,1105228,GROCERY I,1074,0
1618,1105299,GROCERY I,1074,0
1619,1105831,GROCERY I,1092,0
1621,1109116,BEVERAGES,1120,0
1624,1109235,FROZEN FOODS,2242,0
1625,1109325,BEVERAGES,1136,0
1626,1109326,BEVERAGES,1136,0
1627,1109389,GROCERY I,1034,0
1628,1109390,GROCERY I,1034,0
1629,1109391,GROCERY I,1034,0
1630,1110679,SEAFOOD,2850,1
1631,1111202,CLEANING,3030,0
1632,1112450,BEVERAGES,1136,0
1633,1112839,CLEANING,3038,0
1635,1113847,DELI,2654,1
1636,1113852,DELI,2654,1
1638,1114566,BEVERAGES,1124,0
1639,1114567,BEVERAGES,1124,0
1640,1114749,CLEANING,3040,0
1641,1114754,CLEANING,3030,0
1642,1114761,DAIRY,2122,1
1643,1114903,CLEANING,3034,0
1644,1114914,CLEANING,3038,0
1645,1114924,BEVERAGES,1132,0
1646,1116113,GROCERY I,1004,0
1647,1116370,GROCERY I,1002,0
1648,1117661,BEVERAGES,1132,0
1649,1117662,BEVERAGES,1132,0
1650,1117663,GROCERY I,1034,0
1651,1118683,AUTOMOTIVE,6806,0
1652,1118691,PERSONAL CARE,4126,0
1653,1118775,GROCERY I,1028,0
1654,1119216,CLEANING,3046,0
1655,1119217,CLEANING,3046,0
1656,1121513,CLEANING,3020,0
1657,1121514,CLEANING,3020,0
1658,1121515,CLEANING,3020,0
1659,1121615,DELI,2630,1
1660,1121616,DELI,2644,1
1661,1123722,GROCERY I,1060,0
1662,1124164,BEVERAGES,1124,0
1663,1124165,BEVERAGES,1124,0
1664,1124973,DAIRY,2116,1
1665,1127860,GROCERY I,1026,0
1666,1127862,FROZEN FOODS,2210,0
1667,1132005,BEVERAGES,1132,0
1668,1133955,"LIQUOR,WINE,BEER",1330,0
1669,1134971,BEVERAGES,1132,0
1670,1135438,GROCERY I,1034,0
1671,1136979,GROCERY I,1030,0
1672,1137146,GROCERY I,1074,0
1673,1138053,PERSONAL CARE,4114,0
1674,1141956,GROCERY I,1088,0
1675,1143685,BEVERAGES,1124,0
1676,1143686,BEVERAGES,1124,0
1677,1143691,GROCERY I,1040,0
1679,1145597,BEVERAGES,1124,0
1680,1146496,FROZEN FOODS,2246,0
1682,1146648,DAIRY,2116,1
1683,1146783,GROCERY I,1040,0
1684,1146784,GROCERY I,1040,0
1685,1146785,GROCERY I,1040,0
1686,1146786,GROCERY I,1040,0
1687,1146787,GROCERY I,1040,0
1688,1146795,GROCERY I,1040,0
1689,1146796,GROCERY I,1040,0
1690,1146797,GROCERY I,1040,0
1691,1146799,GROCERY I,1040,0
1692,1146800,GROCERY I,1040,0
1693,1146801,GROCERY I,1040,0
1694,1146802,GROCERY I,1040,0
1695,1146803,GROCERY I,1040,0
1696,1146804,GROCERY I,1040,0
1697,1146974,GROCERY I,1040,0
1698,1147017,CLEANING,3040,0
1699,1147495,GROCERY I,1002,0
1700,1147731,AUTOMOTIVE,6806,0
1701,1148017,"LIQUOR,WINE,BEER",1318,0
1702,1148018,"LIQUOR,WINE,BEER",1318,0
1703,1148548,EGGS,2502,1
1704,1148719,GROCERY I,1032,0
1705,1148753,GROCERY I,1030,0
1706,1148812,BEVERAGES,1120,0
1707,1148971,GROCERY I,1076,0
1708,1148972,GROCERY I,1036,0
1709,1149069,PRODUCE,2070,1
1710,1149225,CLEANING,3040,0
1711,1149579,BREAD/BAKERY,2708,1
1713,1150700,POULTRY,2416,1
1714,1150954,BEVERAGES,1124,0
1715,1151128,GROCERY I,1038,0
1716,1152017,CLEANING,3034,0
1717,1152346,FROZEN FOODS,2210,0
1718,1152348,FROZEN FOODS,2210,0
1719,1152350,FROZEN FOODS,2210,0
1720,1152355,FROZEN FOODS,2210,0
1721,1152464,CLEANING,3014,0
1722,1153584,BEVERAGES,1122,0
1723,1153597,GROCERY I,1078,0
1725,1156722,GROCERY I,1028,0
1726,1156724,GROCERY I,1028,0
1727,1157329,GROCERY I,1022,0
1728,1157462,GROCERY I,1040,0
1729,1157479,BEVERAGES,1136,0
1730,1157561,GROCERY I,1040,0
1731,1157562,GROCERY I,1040,0
1732,1157564,GROCERY I,1040,0
1733,1157685,GROCERY I,1040,0
1734,1157699,GROCERY I,1040,0
1735,1158705,BEAUTY,4252,0
1736,1158719,GROCERY I,1040,0
1737,1158720,GROCERY I,1040,0
1738,1159413,GROCERY I,1040,0
1739,1159414,GROCERY I,1040,0
1740,1159415,GROCERY I,1040,0
1741,1159597,CLEANING,3038,0
1743,1159726,GROCERY I,1076,0
1744,1159728,GROCERY I,1076,0
1745,1160752,GROCERY I,1036,0
1746,1160754,GROCERY I,1078,0
1747,1160796,GROCERY I,1072,0
1748,1160872,GROCERY I,1076,0
1749,1160873,GROCERY I,1076,0
1750,1160882,GROCERY I,1080,0
1752,1161555,BEVERAGES,1132,0
